customer_id,customer_name,region,status,account_balance,loaded_date
1001,Aarav Shah,North,Active,125000.50,2026-06-01
1002,Diya Mehta,South,Active,98250.00,2026-06-01
1003,Kabir Rao,West,Active,210450.75,2026-06-01
1004,Ananya Iyer,East,Inactive,45000.00,2026-06-01
1005,Vivaan Nair,North,Active,76000.25,2026-06-01
1006,Ishita Das,South,Active,134500.00,2026-06-01
1007,Rohan Kapoor,West,Inactive,58000.00,2026-06-01
1008,Meera Menon,East,Active,167890.40,2026-06-01
1009,Arjun Verma,North,Active,92000.00,2026-06-01
1010,Nisha Pillai,South,Active,118300.10,2026-06-01
